"If an applicant has been unemployed prior to COVID-19, can he/she apply for the COVID-19 Support Grant?","No, the applicant would not be eligible for the COVID-19 Support Grant as the grant supports those who are retrenched, placed on more than 3 months NPL or experienced at least 30% reduction in salary for more than 3 months, as a result of the economic impact of COVID-19. Those who have been unemployed prior to COVID-19 and require financial assistance may approach their nearest SSOs (go.gov.sg/locate-sso) to apply for financial assistance. ComCare provides financial assistance and comprehensive support to low-income individuals and families (with monthly household income of $1,900 and below, or a per capita income of $650 and below). If their income exceeds these guidelines, they may still approach the SSOs if they face financial difficulties. The SSOs will assess their circumstances and needs, and provide assistance accordingly."
"If applicant is a foreigner with children who are Singapore Citizens, can he/she apply for the COVID-19 Support Grant?","No, the applicant must be a Singapore Citizen (SC) or Permanent Resident (PR). Foreigners are not eligible for the grant."
When can applicants apply for the COVID-19 Support Grant?,"MSF has expanded the eligibility criteria of the scheme and is progressively rolling out our system enhancements to cater to the different groups of affected employees: Applicants who have lost their jobs and are currently unemployed or who are placed involuntary NPL for at least three consecutive months, can start applying from 4 May 2020. Applicants who had their monthly salary reduced by at least 30% for a period of at least three consecutive months can start applying from 11 May 2020. All applications for the COVID-19 Support Grant will remain open until 31 Dec 2020. You can apply during this period from 9am to 6pm daily at go.gov.sg/CSG."
How can applicants find out the status of their application for the COVID-19 Support Grant?,Applicants will be informed of the status of their application via SMS. Applicants can also check on the status of their application by either emailing Ask_SSO@msf.gov.sg or calling the ComCare hotline at1800-222-0000.
When will applicants know the outcome of their application?,Applicants will be informed of the outcome of his/her application in about 2 weeks if all the required documents are in order.
How do applicants know that their online application has been submitted successfully?,"When an application is submitted successfully, applicants will receive an automated acknowledgement message assigning them a reference number. The acknowledgement will also state that they will be informed of the outcome of their application in about 2 weeks upon submission of all documents. If the applicant has included his/her email address, a similar acknowledgement will be sent to the email address, together with a copy of the completed application form. Applicants who do not receive these notifications should resubmit their online application."
What should applicants do if they submit the wrong document in the online application?,"After the applicant has been informed of the rejected application, applicants can re-apply online and submit the correct document. The online system will not allow re-application for the same NRIC while the application is still being processed."
"If applicants need help to apply online for the COVID-19 Support Grant, who can they approach?","Applicants can email Ask_SSO@msf.gov.sg or call the ComCare hotline at 1800-222-0000 for assistance. If they are unable to email or call, they can approach their nearest SSO (go.gov.sg/locate-sso) which will guide them through the online application form."
"If an applicant has lost one job, and has his/her monthly salary reduced by at least 30% in another job, how can he/she apply?","The applicant can submit the details of both jobs, via the loss income form."
"An applicant applied the first time through the online system and was rejected because his/her No-Pay Leave was less than 3 months. Subsequently, applicant’s No-Pay Leave was extended to 3 months. Will the applicant be able to re-apply for the grant?",The applicant may reapply and can receive the grant if he/she meets all the eligibility criteria.
Do applicants have to submit another application for the COVID-19 Support Grant if they had applied for the Temporary Relief Fund?,"Online applicants of the Temporary Relief Fund who have previously indicated that they would like to apply for COVID-19 Support Grant and have submitted the relevant documents* would not have to submit any application form for the COVID-19 Support Grant when applications open. Instead, MSF will assess their eligibility for the COVID-19 Support Grantand contact them for additional information as required. Temporary Relief Fund applicants who had applied at the Community Centres or SSOs, and indicated that they wanted to apply for COVID-19 Support Grant will receive an SMS inviting them to apply for the COVID-19 Support Grant online. Individuals who had not previously expressed that they would like to apply for the COVID-19 Support Grant will need to submit a new online application for the COVID-19 Support Grant. *Mandatory documents include: • Relevant documents indicating loss of job, being placed on involuntary NPL or reduction of at least 30% salary for at least three consecutive months, such as Retrenchment letter, contract termination, letter from employer (e.g. indicating loss of least 30% of salary for at least three consecutive months), payslip(s) or CPF contribution statement(s) showing last drawn monthly salary, before loss of job, being placed on involuntary NPL or loss of at least 30% of your salary; • Payslip(s) or CPF contribution statement(s) showing monthly salary, after loss of at least 30% of your salary for at least three consecutive months and • Scanned copy of the first page of your bank book / bank statement / bank slip indicating your bank account name and number"
How can applicants appeal if their application for the COVID-19 Support Grant was unsuccessful?,"If an applicant’s circumstances have changed, he/she can apply for the COVID-19 Support Grant again."
Can a proxy (household member/spouse) apply CSG on behalf of the affected person?,"Applicants should apply for the COVID-19 Support Grant online at https://www.go.gov.sg/CSG (applications open from 4 May 2020 for applicants who lost their job or are placed on involuntary NPL). Applicants will need a SingPass account, supporting documents, and a valid bank account. However, if the person is serving a Quarantine Order or Stay-Home Notice and is unable to physically apply and does not know how to apply online, they can appoint a proxy to apply at the SSOs. For proxy applications, the proxy will need to submit the completed hardcopy application form, and present the applicant’s NRIC and relevant supporting documents, to the SSOs. If applicants are not able to apply online and have no proxy to apply and/or collect the assistance on their behalf, they can apply after their Quarantine Order or Stay-Home Notice has ended. Applications will remain open until 31 Dec 2020."
How do applicants set up a SingPass account? What if applicants forgot their SingPass password?,Members of public can visit https://www.singpass.gov.sg/singpass/register/instructions for instructions on how to set up/register their SingPass account. Members of public who have forgotten their SingPass password can visit https://www.singpass.gov.sg/singpass/onlineresetpassword/userdetail to reset their password.
What if an applicant does not have a bank account?,Applicants are required to have a bank account in order to receive the COVID-19 Support Grant. Applicants will have to open a bank account if they do not have a bank account.
How can applicants find out their bank branch details?,"Applicants are advised to contact their bank to find out branch details. Below are the steps to determine bank branch details for some banks (applicants should check with their respective banks for latest information). For POSB account holders (9-digit account number): - Bank Code: 7171 - Branch Code: 081 - Branch Name: POSB Bank Ltd. For DBS account holders (10-digit account number): - Bank Code: 7171 - Branch Code: First 3 digits of your DBS account number. For example for account no. 123-4-567890 the Branch Code is 123 - Branch Name: DBS Bank Ltd. For OCBC account holders (10 or 12-digit account number): - Bank Code: 7339 - Branch Code: The first three numbers of your OCBC account number are branch codes. Example of OCBC Bank account numbers: 555-1-234567 where 555 is the branch code, 501-123956-001 where 501 is the branch code. For UOB account holders (10-digit account number): - Bank Code: 7375 - Branch Code: Please use the first 3 digits of your UOB account number and refer to Appendix A to retrieve the corresponding bank and branch code from the following document http://www.uob.com.sg/assets/pdfs/global/achcode.pdf. For example: For account 101-123-456-7, please use 101 to refer to Appendix A to retrieve the Bank Code 7375 and Branch code 001."
Can a COVID-19 Support Grant recipient continue to receive the Support Grant for the second and third month if they found a job in the first month after approval of the COVID-19 Support Grant?,Applicants who have found employment within the period of the COVID-19 Support Grant support will continue to receive the grant until it expires at the end of the third month. The grant may assist them during the transition period before they start working.
Can a COVID-19 Support Grant recipient re-apply for the grant after the assistance period of three months has ended?,Each recipient can receive the Grant once.
"Are there other government schemes to support individuals who need additional financial support, but who are not eligible for the COVID-19 Support Grant (e.g. those who are still employed but earning low income)?","Low-income individuals can apply for ComCare assistance. ComCare provides financial assistance and comprehensive support to low-income individuals and families (with monthly household income of $1,900 and below, or a per capita income of $650 and below). If their income exceeds these guidelines, they may still approach the SSOs if they face financial difficulties. The SSOs will assess their circumstances and needs, and provide assistance accordingly."
How is the COVID-19 Support Grant different from ComCare Short-To-Medium-Term Assistance?,"For SCs/PRs who have lost their jobs or have been involuntarily placed on NPL, the COVID-19 Support Grant provides up to $800 in monthly cash assistance for three months and employment/training support. For SCs/PRs who had their salary reduced by least 30% due to the ongoing COVID-19 situation, the COVID-19 Support Grant provides up to $500 monthly cash assistance for three months. The ComCare Short-To-Medium-Term Assistance (SMTA) provides assistance for low-income and vulnerable households who require support for a temporary period due to various reasons including being unable to work due to illness or having to care for dependants. The amount and duration of SMTA varies across households depending on their needs, profile, and size. Assistance may include cash for daily living expenses, assistance with household bills, medical expenses and/or other support."
What are the conditions for the COVID-19 Support Grant?,"Recipients of the Support Grant who have lost their jobs are required to participate in job search and/or retraining programmes under Workforce Singapore (WSG), Employment and Employability Institute (e2i) and/or SkillsFuture Singapore. SSOs will facilitate this link-up. This is to better ensure their financial stability beyond the assistance period. Recipients of the Support Grant who are placed on involuntary NPL are encouraged to sign up for Skillsfuture Singapore (SSG) courses."
How can applicants verify the identity of a public servant contacting them through the phone or email?,"To make help more accessible, officers from the SSOs may conduct video/phone interviews with applicants to verify the identity and details of their applications. SSO officers will: Identify themselves and purpose of the call and seek the applicant’s consent to proceed with the phone interview. Contact applicants only if they have applied for financial assistance or the COVID-19 Support Grant, or sought financial help through other government agencies. Provide applicants with an authorised email address xxx@msf.gov.sg to submit supporting documents. Provide pre-paid envelopes for applicants to mail back the supporting documents for physical submissions. All applicants are strongly encouraged to mail the supporting documents. If they are unable to do so, they may physically bring the documents to the SSOs. Alternatively, applicants can call the ComCare hotline number 1800-222-0000 to verify. Our hotline team will email the relevant SSO for verification. An SSO Officer will contact the applicant and share the verified information (date and time of the applicant’s earlier call to the Comcare hotline as “proof”) and request for permission to proceed with the phone interview."
Am I allowed to visit my boyfriend/ girlfriend or fiancé/fiancée or spouse living in a different house?,"Please do not do so during this period when circuit breaker measures are in place. The intention of these measures is to significantly reduce movements and social interactions to lower the risk of transmission across different households. You could consider using different digital means (e.g. video calls, phone calls, etc.) to keep in contact during this time."
Why are ROM services suspended from 7 Apr to 1 Jun 2020?,"ROM has suspended its services in line with the Government's major circuit breaker measures to battle the COVID-19 transmission. This is for the safety of the couples, their guests, as well as the community."
The ROM website indicates that all solemnisations between 7 Apr and 1 Jun will be rescheduled. When/How will we learn about our rescheduled solemnisation date?,"ROM will reschedule all appointments for verification of documents and solemnization of marriage, at ROM and external venues, scheduled during the circuit breaker. Our officers will be in touch with affected couples. We will waive all fees for changes due to the COVID-19 situation."
"My partner and I were notified by ROM that we will need to postpone our appointment with ROM and solemnisation, whether at ROM or external venues, until after 1 June. What is the reason for not allowing a maximum of 5 pax (solemniser, couple, 2 witnesses), if we comply with safe distancing rules?","Given the current COVID-19 situation, we strongly advise you to postpone your appointment for your own safety as well as that of your guests and solemniser. Circuit breaker measures have been introduced and everyone is to stay home. Contact is limited to immediate family members living in the same household during this period."
I am divorced and my children take turns to live with me and my ex-spouse. Can this arrangement continue?,"This is allowed. However, do keep changes and any movement and travel in this regard to a minimum, where possible, to lower the risk of transmission across different households."
"I am divorced/separated, and my spouse/ex-spouse has care and control of my child. Can face-to-face access arrangements continue during circuit breaker period?","Yes, face-to-face access arrangements are allowed, if these arrangements have been in place before the circuit breaker period. However, please keep movement and travel to a minimum to lower the risk of transmission across different households, given the latest measures put in place by the government."
"I am separated/ divorced, and Court had ordered Supervised Exchange/Supervised Visitation (SESV) services to assist me in having face-to-face contacts with my child. Can this arrangement continue?","From 2nd June onwards, Divorce Support Specialist Agencies (DSSAs) will be resuming services in phases. Safe management measures will be in place to safeguard the health and safety of all staff and clients. As part of DSSAs’ enhanced measures, SESV slots will be reduced. In lieu of this, DSSAs will offer remote access services via online platforms. DSSAs will be contacting their clients accordingly on the arrangements."
I am divorced/separated. What can I do if my ex-spouse and I disagree on access matters during this circuit breaker period?,"Parents are advised to facilitate continued access for their child and may wish to note that not doing so may result in a breach of the terms of their court order. Face-to-face access is still allowed with movement and travel kept to a minimum. Parents should co-operate with each other, and find practical and suitable solutions that serve the best interests of their children while complying with the circuit breaker measures. Co-parenting is important to enable children to continue to develop well. Studies show that acrimony between divorced parents can affect children adversely. Parents should therefore try to put aside their differences and make decisions in the best interests of their children. If there is mutual agreement, parents can also consider varying the arrangements or arranging access remotely through telephone, video calls or other online platforms. Parents who are still unable to reach an agreement may seek their own legal advice or email the Family Justice Courts Registry at fjcourts_family_registry@fjcourts.gov.sg for issues relating to custody and access. Turning to the court for the enforcement of access orders should be the last resort. Parents can seek counselling and emotional support during difficult times."
My ex-spouse and I quarrel about access arrangements all the time. It has become worse during this circuit breaker period. I do not want to continue this and prefer to cut him/her off and take care of my child myself. Can I do it?,"Parents are advised to facilitate continued access for their child and may wish to note that not doing so may result in a breach of the terms of their court order. Face-to-face access is still allowed with movement and travel kept to a minimum. Parents should co-operate with each other, and find practical and suitable solutions that serve the best interests of their children while complying with the circuit breaker measures. Co-parenting is important to enable children to continue to develop well. Studies show that acrimony between divorced parents can affect children adversely. Parents should therefore try to put aside their differences and make decisions in the best interests of their children. If there is mutual agreement, parents can also consider varying the arrangements or arranging access remotely through telephone, video calls or other online platforms. Parents who are still unable to reach an agreement may seek their own legal advice or email the Family Justice Courts Registry at fjcourts_family_registry@fjcourts.gov.sg for issues relating to custody and access. Turning to the court for the enforcement of access orders should be the last resort. Parents can seek counselling and emotional support during difficult times."
My ex-spouse is denying me access to my child. He/ she is worried about the general risk of transmission of COVID-19. What can I do to see my child?,"Parents are advised to facilitate continued access for their child and may wish to note that not doing so may result in a breach of the terms of their court order. Face-to-face access is still allowed with movement and travel kept to a minimum. Parents should co-operate with each other, and find practical and suitable solutions that serve the best interests of their children while complying with the circuit breaker measures. Co-parenting is important to enable children to continue to develop well. Studies show that acrimony between divorced parents can affect children adversely. Parents should therefore try to put aside their differences and make decisions in the best interests of their children. If there is mutual agreement, parents can also consider varying the arrangements or arranging access remotely through telephone, video calls or other online platforms. Parents who are still unable to reach an agreement may seek their own legal advice or email the Family Justice Courts Registry at fjcourts_family_registry@fjcourts.gov.sg for issues relating to custody and access. Turning to the court for the enforcement of access orders should be the last resort. Parents can seek counselling and emotional support during difficult times.."
I am worried about allowing my ex-spouse to have face-to-face access to my child as I live with my elderly parents. What can I do?,"Parents are advised to facilitate continued access for their child and may wish to note that not doing so may result in a breach of the terms of their court order. Face-to-face access is still allowed with movement and travel kept to a minimum. Parents should co-operate with each other, and find practical and suitable solutions that serve the best interests of their children while complying with the circuit breaker measures. Co-parenting is important to enable children to continue to develop well. Studies show that acrimony between divorced parents can affect children adversely. Parents should therefore try to put aside their differences and make decisions in the best interests of their children. If there is mutual agreement, parents can also consider varying the arrangements or arranging access remotely through telephone, video calls or other online platforms. Parents who are still unable to reach an agreement may seek their own legal advice or email the Family Justice Courts Registry at fjcourts_family_registry@fjcourts.gov.sg for issues relating to custody and access. Turning to the court for the enforcement of access orders should be the last resort. Parents can seek counselling and emotional support during difficult times."
I am worried about allowing my ex-spouse to have face-to-face access to my child as my ex-spouse is a frontline healthcare worker. What can I do?,"Parents are advised to facilitate continued access for their child and may wish to note that not doing so may result in a breach of the terms of their court order. Face-to-face access is still allowed with movement and travel kept to a minimum. Parents should co-operate with each other, and find practical and suitable solutions that serve the best interests of their children while complying with the circuit breaker measures. Co-parenting is important to enable children to continue to develop well. Studies show that acrimony between divorced parents can affect children adversely. Parents should therefore try to put aside their differences and make decisions in the best interests of their children. If there is mutual agreement, parents can also consider varying the arrangements or arranging access remotely through telephone, video calls or other online platforms. Parents who are still unable to reach an agreement may seek their own legal advice or email the Family Justice Courts Registry at fjcourts_family_registry@fjcourts.gov.sg for issues relating to custody and access. Turning to the court for the enforcement of access orders should be the last resort. Parents can seek counselling and emotional support during difficult times."
My child does not want to see my ex-spouse through face-to-face and/or remote access or talk to him/her on the phone. Must I still facilitate access?,Parents are strongly advised to facilitate continued access for their child. They should note that they could be breaching the terms of their court orders if they do not comply with existing orders. There are a variety of reasons why a child is reluctant to participate in access. You are encouraged to support your child by addressing his/her emotions regarding the access. It is important to show your child that you will support his/her access with your ex-spouse. Parents can seek counselling and emotional support during difficult times for themselves or their child.
My ex-spouse and I have agreed on remote access to protect our child and families from possible infection. How do I conduct remote access for my child?,"You can facilitate remote access through telephone, video calls or other available online platforms that you and your ex-spouse agree on. The parent with care and control of the child (care parent) will need to assist the child by setting up the session and encouraging the children to participate in the remote session with the access parent. Care parents are advised to provide some space for the child to interact independently with the access parent. For a younger child, aged 5 years old and below, the care parent may need to be physically around to assist the child but should allow the child to interact with the access parent without disruptions. Parents having access may find creative ways to connect with the child e.g. use online games. To complement remote access, parents may also encourage their child to send emails, letters or cards to access parents in order to stay in touch. The children may send appropriate pictures or videos of themselves to the access parent as well. The duration of the remote sessions will depend on the attention span and developmental stage of the child."
I am concerned about the safety of my child and would like to vary the court order for custody and/or access arrangements. Will I be able to do so in the circuit breaker and Phase 1 period?,"The courts will continue to conduct hearings, including applications to vary existing orders, with the appropriate safety measures in place. Please seek your own legal advice. Please refer to the Family Justice Courts' Registrar’s Circular No. 4 of 2020 for more details."
My child needs some counselling help in relation to my divorce. Where can I get help?,Divorce Support Specialist Agencies (DSSAs) can provide counselling support for your or your child. You may contact the DSSA near you. Please refer to this link for their contacts: https://www.msf.gov.sg/Divorce-Support/Divorce-Support/Divorce-Support-Specialist-Agencies/Pages/Overview-of-DSSAs.aspx Those above 18 years olf can also contact CPH Online Counselling at http://www.cphonlinecounselling.sg. This service allows you to seek help anonymously. This service will be provided by professional counsellors through live chat or emails. This is a complimentary service.
I am feeling down and stressed about my divorce and/or access arrangements for my child during this circuit breaker period. Where can I seek help?,Divorce Support Specialist Agencies (DSSAs) can provide counselling support for your or your child. You may contact the DSSA near you. Please refer to this link for their contacts: https://www.msf.gov.sg/Divorce-Support/Divorce-Support/Divorce-Support-Specialist-Agencies/Pages/Overview-of-DSSAs.aspx Those above 18 years olf can also contact CPH Online Counselling at http://www.cphonlinecounselling.sg. This service allows you to seek help anonymously. This service will be provided by professional counsellors through live chat or emails. This is a complimentary service.
"Are we allowed to go to the houses of our extended family for caregiving purposes (e.g., grandparents going to children's house to care for grandchildren, children bringing groceries/food for elderly parents who do not stay with them)?","The objective of the circuit breaker measures is to significantly reduce movements and social interactions, especially for seniors who are more vulnerable to COVID-19 infection. Grandparents can continue to care for their grandchildren if the grandchildren stay with them throughout this period. We strongly urge seniors to stay at home and avoid going out. You should not drop off your children with their grandparents on a daily basis as this increases the risk of transmission. However, exemptions can be made if you belong to one of the following groups: Both parents are essential service workers and unable to work from home; One parent is a healthcare professional (e.g. doctor, nurse, allied health professional, support care staff) and is unable to work from home; and One parent is an essential service worker who is unable to work from home, and have a child/children below the age of three. Individuals can still visit elderly family members to assist with their daily needs if there is no one else living with them who can do so. Where possible, we strongly recommend for family members to support their elderly relatives who do not stay with them by keeping in contact through phone or video calls, or bringing them groceries, food and other essential supplies to assist with their daily needs. This is to avoid seniors having to make trips out of the home for such activities. Social gatherings, such as private parties and social get-togethers with friends and relatives and family members not within the same household, are disallowed."
"Can children still visit playgrounds or play in common areas such as HDB corridors, or condominium facilities?","No. Public playgrounds and condominium facilities, such as playgrounds, gyms and pools, will be closed. Children should also refrain from playing in common areas such as HDB corridors and void decks. Children may visit public spaces around their immediate neighbourhood, for example public parks. They should do so only with members of their households. Safe distancing measures must be observed at all times. Members of public are also advised to return to their homes promptly and not linger."
Can I move to stay in another household (e.g. my fiancé/fiancée or my child/ parent) in the middle of this circuit breaker period (e.g. on 15 April 2020) and remain in that household till the end of the circuit breaker period (i.e. 1 June 2020)?,"You should avoid doing so, to minimize the risk of transmission due to frequent interactions between households."
Can my day-time nanny caring for my child still come?,"No. Parents should suspend services of their day-time nannies so as to minimise the risk of transmission across different households. Parents are encouraged to care for their children within their own households. Employers are requested to exercise the necessary flexibility to support parents who are working from home during this time as having to care for their children personally might take a toll on their work productivity. To support our essential service workers we are allowing exemptions from the restriction for the following families who can continue to tap on the grandparents for childcare support on a daily basis: Both parents are essential service workers and unable to work from home. One parent is a healthcare professional (e.g. doctor, nurse, allied health professional , support care staff, etc) and is unable to work from from home. One parent is an essential service worker who is unable to work from home and have a child/children below the age of three (this is in recognition that younger children are typically taken care of at home and need more attention). Preschools will also continue to prioritise limited service provision for families without alternative care where: Both parents are essential service workers (non-healthcare workers) or One parent is a healthcare professional."
I find it difficult to work from home and take care of my child at the same time. I am also unable to find alternative child care arrangements. What can I do?,"The circuit breaker is an important public health measure to stem the spread of the COVID-19 virus and to safeguard the health all Singaporeans during this pandemic. It is in the best interest of your children and family to stay at home during this period. For parents working from home, we fully empathise that it can be challenging to juggle caring for our loved ones and maintaining the fullest commitment to our work. However, these are exceptional times and we each need to make adjustments to our lives to collectively curb the transmission of COVID-19. We need to limit the attendance in schools/preschools to reduce the risks of transmission. Employers are encouraged to exercise flexibility and understanding to employees during this period."
I'm a parent working in essential services. Can I continue to send my child to preschool?,"During the circuit breaker period, preschools remain open to serve a limited group of families. They remain open for families with no alternative caregiving arrangements and where (a) both parents are essential service workers (non-healthcare workers) working away from home or (b) one parent is a healthcare worker working away from home. Parents may contact their existing preschool if the child is already enrolled with a centre. If your child is not enrolled with a centre. If your child is not enrolled with a centre. If your child is not enrolled with a preschool, you can find one using ECDA's Preschool Search Portal (http://go.gov.sg/ecda-psp) and contact the centre directly."
I'm a parent working in essential services. Can my child continue attending a community-based student care centre?,"For parents who are both working in essential services (non-healthcare workers) and are unable to secure alternative care arrangements, you may approach your child's school or Special Education (SPED) school for assistance."
"Is my job considered ""essential services""?",You may refer to the list of essential services listed here: https://go.gov.sg/essential-services
My parents usually come over to help me with caring for my children on weekdays. Can we still do so?,"You should avoid doing so during this period, to minimise the risk of transmission, especially to elderly parents, due to frequent interactions between households. Grandparents can continue to care for their grandchildren if the grandchildren stay with them throughout this period. They must remain in the same household throughout the period, as movement between households should be avoided to reduce the risk of transmission and to protect our seniors who are most vulnerable to COVID-19. While most parents would be working from home, there would be some households where parents have to continue going to work during this period. These are workers in our essential services, especially our healthcare workers who are on the frontline working on shifts and on weekends, when childcare centres may not be available, and may be activated at any time of the day to respond to the COVID-19 situation. They will face additional difficulties which may be unnecessarily stressful for these essential service personnel. For very young children, we also recognise that it is difficult for them to be away from their parents for long periods of time, and adjusting to new caregivers that they are unfamiliar with would be challenging. Therefore, we will be implementing exemptions for the following families, who may continue to tap on the grandparents for childcare support on a daily basis: Both parents are essential service workers and unable to work from home; One parent is a healthcare professional (e.g. doctor, nurse, allied health professional, support care staff) and is unable to work from home; and One parent is an essential service worker who is unable to work from home, and have a child/children below the age of three. Parents requiring assistance may contact ECDA at contact@ecda.gov.sg or 67359213. Families who are relying on the grandparents for childcare on a daily basis are advised to take the necessary safe distancing precautions to protect the elderly. Observe personal hygiene and try to reduce interaction time as far as possible when visiting their home. Do not visit when unwell."
What supporting documents do I need to prove to my child's preschool/student care centre that I am working in essential services?,"Parents/guardians can provide carious forms of documentation, for example, a letter from your employer, your staff pass etc."
"Will parents working in essential services, who continue sending their children to preschool and student care centres, receive the 50% fee offset as well?",The fee offsets are only extended to Singaporean children not attending preschool and student care during the circuit breaker period.
